2012 Subaru Impreza Sedan 2.0i, Manual transmission, Subaru 2.0L 4 Cylinder 148 hp 145 ft-lbs, 5 Speed Manual, 25, Gasoline, 34
2012 Subaru Impreza Hatchback 2.0i, Manual transmission, Subaru 2.0L 4 Cylinder 148 hp 145 ft-lbs, 5 Speed Manual, 25, Gasoline, 34
2011 MINI Cooper S Countryman All4 AT, Automatic transmission, Mini 1.6L 4 Cylinder 181 hp 177 ft-lbs Turbo, 6 Speed Automatic Select Shift, 23, Gasoline, 30
2011 Ford Escape XLT AWD, Automatic transmission, Ford 2.5L 4 cylinder 171hp 171 ft-lbs, 6 Speed Automatic, 22, Gasoline, 26
2011 Ford Escape Limited AWD, Automatic transmission, Ford 2.5L 4 cylinder 171hp 171 ft-lbs, 6 Speed Automatic, 22, Gasoline, 26
2010 Ford Escape XLS AWD, Automatic transmission, Ford 2.5L 4 cylinder 171hp 171 ft-lbs, 6 Speed Automatic, 22, Gasoline, 26
2010 Ford Escape XLT AWD, Automatic transmission, Ford 2.5L 4 cylinder 171hp 171 ft-lbs, 6 Speed Automatic, 22, Gasoline, 26
2010 Ford Escape Limited AWD, Automatic transmission, Ford 2.5L 4 cylinder 171hp 171 ft-lbs, 6 Speed Automatic, 22, Gasoline, 26
2012 BMW 528i xDrive Sedan AT, Automatic transmission, BMW 2.0L 4 Cylinder 240 hp 260 ft-lbs Turbo, 8 Speed Automatic Select Shift, 22, Gasoline, 32
2012 BMW 528i xDrive Sedan, Automatic transmission, BMW 2.0L 4 Cylinder 240 hp 260 ft-lbs Turbo, 8 Speed Automatic Select Shift, 22, Gasoline, 32
